,date,target,insult,tweet
2775,7/2/2017,the-media,dishonest,The dishonest media will NEVER keep us from accomplishing our objectives on behalf of our GREAT AMERICAN PEOPLE!â€¦ https://t.co/EwnwCeuGMv
2776,7/7/2017,john-podesta,Disgraceful!,Everyone here is talking about why John Podesta refused to give the DNC server to the FBI and the CIA. Disgraceful!
2777,7/7/2017,the-media,Fake News,I will represent our country well and fight for its interests! Fake News Media will never cover me accurately but who cares! We will #MAGA!
2778,7/7/2017,the-media,will never cover me accurately but who cares!,I will represent our country well and fight for its interests! Fake News Media will never cover me accurately but who cares! We will #MAGA!
2779,7/9/2017,the-media,Fake News,...have it. Fake News said 17 intel agencies when actually 4 (had to apologize). Why did Obama do NOTHING when he had info before election?
2780,7/10/2017,james-comey,leaked CLASSIFIED INFORMATION to the media. That is so illegal!,James Comey leaked CLASSIFIED INFORMATION to the media. That is so illegal!
2781,7/10/2017,hillary-clinton,gave our country away,"If Chelsea Clinton were asked to hold the seat for her mother,as her mother gave our country away, the Fake News would say CHELSEA FOR PRES!"
2782,7/10/2017,the-media,Fake News,"If Chelsea Clinton were asked to hold the seat for her mother,as her mother gave our country away, the Fake News would say CHELSEA FOR PRES!"
2783,7/11/2017,democrats,have only confirmed 48 of 197 Presidential Nominees,The Senate Democrats have only confirmed 48 of 197 Presidential Nominees. They can't win so all they do is slow things down & obstruct!
2784,7/11/2017,democrats,They can't win so all they do is slow things down & obstruct!,The Senate Democrats have only confirmed 48 of 197 Presidential Nominees. They can't win so all they do is slow things down & obstruct!
2785,7/12/2017,investigations-of-trump-presidency,the greatest Witch Hunt in political history,"My son Donald did a good job last night. He was open, transparent and innocent. This is the greatest Witch Hunt in political history. Sad!"
2786,7/12/2017,investigations-of-trump-presidency,Sad!,"My son Donald did a good job last night. He was open, transparent and innocent. This is the greatest Witch Hunt in political history. Sad!"
2787,7/12/2017,democrats,Disgraceful!,Why aren't the same standards placed on the Democrats. Look what Hillary Clinton may have gotten away with. Disgraceful!
2788,7/12/2017,the-media,"when you hear the words “sources say” from the Fake Media, often times those sources are made up and do not exist","Remember, when you hear the words ""sources say"" from the Fake Media, often times those sources are made up and do not exist."
2789,7/14/2017,obamacare,disaster,"So impt Rep Senators, under leadership of @SenateMajLdr McConnell get healthcare plan approved. After 7yrs of O'Care disaster, must happen!"
2790,7/15/2017,obamacare,DISASTER,Next week the Senate is going to vote on legislation to save Americans from the ObamaCare DISASTER. #WeeklyAddressï¿½ï¿½ https://t.co/xjVDkgo1NK
2791,7/16/2017,abc-post-poll,just about the most inaccurate poll around election time!,"The ABC/Washington Post Poll, even though almost 40% is not bad at this time, was just about the most inaccurate poll around election time!"
2792,7/16/2017,hillary-clinton,"can illegally get the questions to the Debate & delete 33,000 emails but my son Don is being scorned by the Fake News Media?","HillaryClinton can illegally get the questions to the Debate & delete 33,000 emails but my son Don is being scorned by the Fake News Media?"
2793,7/16/2017,the-media,Fake,"HillaryClinton can illegally get the questions to the Debate & delete 33,000 emails but my son Don is being scorned by the Fake News Media?"
